Ntows,s,iter
976,1.0,150.0
977,2.0,150.0
978,0.0,150.0
979,0.0,150.0
980,2.0,150.0
981,0.0,150.0
982,1.0,150.0
983,2.0,150.0
984,1.0,150.0
985,1.0,150.0
986,3.0,150.0
987,0.0,150.0
988,2.0,150.0
989,7.0,150.0
990,0.0,150.0
991,1.0,150.0
992,4.0,150.0
993,1.0,150.0
994,4.0,150.0
995,4.0,150.0
996,1.0,150.0
997,0.0,150.0
998,5.0,150.0
999,1.0,150.0
1000,0.0,150.0
1001,1.0,150.0
1002,1.0,150.0
1003,5.0,150.0
1004,2.0,150.0
1005,2.0,150.0
1006,1.0,150.0
1007,3.0,150.0
1008,2.0,150.0
1009,2.0,150.0
1010,4.0,150.0
1011,1.0,150.0
1012,1.0,150.0
1013,1.0,150.0
1014,3.0,150.0
1015,2.0,150.0
1016,3.0,150.0
1017,3.0,150.0
1018,0.0,150.0
1019,1.0,150.0
1020,1.0,150.0
1021,1.0,150.0
1022,0.0,150.0
1023,1.0,150.0
1024,3.0,150.0
1025,2.0,150.0
1026,3.0,150.0
1027,3.0,150.0
1028,0.0,150.0
1029,3.0,150.0
1030,2.0,150.0
1031,2.0,150.0
1032,4.0,150.0
1033,0.0,150.0
1034,5.0,150.0
1035,3.0,150.0
1036,3.0,150.0
1037,2.0,150.0
1038,5.0,150.0
1039,2.0,150.0
1040,3.0,150.0
1041,5.0,150.0
1042,1.0,150.0
1043,3.0,150.0
1044,1.0,150.0
1045,1.0,150.0
1046,3.0,150.0
1047,4.0,150.0
1048,1.0,150.0
1049,1.0,150.0
1050,2.0,150.0
1051,5.0,150.0
1052,0.0,150.0
1053,3.0,150.0
1054,1.0,150.0
1055,2.0,150.0
1056,2.0,150.0
1057,4.0,150.0
1058,3.0,150.0
1059,1.0,150.0
1060,2.0,150.0
1061,1.0,150.0
1062,0.0,150.0
1063,2.0,150.0
1064,2.0,150.0
1065,3.0,150.0
1066,1.0,150.0
1067,1.0,150.0
